ProductKey;ProductName;ProductDescription;ProductSubcategoryKey;Manufacturer;BrandName;ClassID;ClassName;ColorID;ColorName;Size;Weight;UnitCost;UnitPrice
873;Contoso Wireless Laser Mouse E50 Grey;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;22;Contoso, Ltd;Contoso;1;Economy;11;Grey;;;$10,69;$20,96
874;Contoso Wireless Notebook Optical Mouse X205 Black;Wireless notebook mouse, long battery life, convenient snap-in receiver;22;Contoso, Ltd;Contoso;3;Deluxe;2;Black;;;$43,06;$129,95
875;Contoso Wireless Notebook Optical Mouse X205 White;Wireless notebook mouse, long battery life, convenient snap-in receiver;22;Contoso, Ltd;Contoso;3;Deluxe;8;White;;;$43,06;$129,95
876;Contoso Wireless Notebook Optical Mouse X205 Blue;Wireless notebook mouse, long battery life, convenient snap-in receiver;22;Contoso, Ltd;Contoso;3;Deluxe;3;Blue;;;$43,06;$129,95
877;Contoso Wireless Notebook Optical Mouse X205 Silver;Wireless notebook mouse, long battery life, convenient snap-in receiver;22;Contoso, Ltd;Contoso;3;Deluxe;7;Silver;;;$43,06;$129,95
878;Contoso Wireless Notebook Optical Mouse X205 Orange;Wireless notebook mouse, long battery life, convenient snap-in receiver;22;Contoso, Ltd;Contoso;3;Deluxe;9;Orange;;;$43,06;$129,95
879;Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;PS/2 mouse, 6 feet mouse cable;22;Contoso, Ltd;Contoso;1;Economy;11;Grey;;;$6,63;$13,
880;Contoso Optical Wheel OEM PS/2 Mouse E60 Black;PS/2 mouse, 6 feet mouse cable;22;Contoso, Ltd;Contoso;1;Economy;2;Black;;;$6,63;$13,
881;Contoso Optical Wheel OEM PS/2 Mouse E60 White;PS/2 mouse, 6 feet mouse cable;22;Contoso, Ltd;Contoso;1;Economy;8;White;;;$6,63;$13,
882;Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;PS/2 mouse, 6 feet mouse cable;22;Contoso, Ltd;Contoso;1;Economy;7;Silver;;;$6,63;$13,
883;Contoso Bluetooth Notebook Mouse X305 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;3;Deluxe;2;Black;;;$49,7;$150,
884;Contoso Bluetooth Notebook Mouse X305 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;3;Deluxe;8;White;;;$49,7;$150,
885;Contoso Bluetooth Notebook Mouse X305 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;3;Deluxe;7;Silver;;;$49,7;$150,
886;Contoso Bluetooth Notebook Mouse X305 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;3;Deluxe;11;Grey;;;$49,7;$150,
887;Contoso Bluetooth Notebook Mouse E70 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;1;Economy;2;Black;;;$25,49;$50,
888;Contoso Bluetooth Notebook Mouse E70 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;1;Economy;8;White;;;$25,49;$50,
889;Contoso Bluetooth Notebook Mouse E70 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;1;Economy;7;Silver;;;$25,49;$50,
890;Contoso Bluetooth Notebook Mouse E70 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;22;Contoso, Ltd;Contoso;1;Economy;11;Grey;;;$25,49;$50,
891;SV Rechargeable Bluetooth Notebook Mouse E80 Silver;33 ft range, recharges while in use.;22;Southridge Video;Southridge Video;1;Economy;7;Silver;;;$30,58;$59,99
892;SV Rechargeable Bluetooth Notebook Mouse E80 Black;33 ft range, recharges while in use.;22;Southridge Video;Southridge Video;1;Economy;2;Black;;;$30,58;$59,99
893;SV Rechargeable Bluetooth Notebook Mouse E80 White;33 ft range, recharges while in use.;22;Southridge Video;Southridge Video;1;Economy;8;White;;;$30,58;$59,99
894;SV Rechargeable Bluetooth Notebook Mouse E80 Grey;33 ft range, recharges while in use.;22;Southridge Video;Southridge Video;1;Economy;11;Grey;;;$30,58;$59,99
895;SV Keyboard E90 Silver;Cutting-edge design and improved performance for maximum productivity, E-mail and Internet hot keys;22;Southridge Video;Southridge Video;1;Economy;7;Silver;;;$21,28;$41,73
896;SV Keyboard E90 White;Cutting-edge design and improved performance for maximum productivity, E-mail and Internet hot keys;22;Southridge Video;Southridge Video;1;Economy;8;White;;;$21,28;$41,73
897;SV Keyboard E90 Black;Cutting-edge design and improved performance for maximum productivity, E-mail and Internet hot keys;22;Southridge Video;Southridge Video;1;Economy;2;Black;;;$21,28;$41,73
898;SV Keyboard E90 Grey;Cutting-edge design and improved performance for maximum productivity, E-mail and Internet hot keys;22;Southridge Video;Southridge Video;1;Economy;11;Grey;;;$21,28;$41,73
842;Contoso Bright Light battery E20 Black;Illuminate wireless reading device, two super LED lights;22;Contoso, Ltd;Contoso;1;Economy;2;Black;;;$13,71;$26,9
843;Contoso Bright Light battery E20 blue;Illuminate wireless reading device, two super LED lights;22;Contoso, Ltd;Contoso;1;Economy;3;Blue;;;$13,71;$26,9
844;Contoso Bright Light battery E20 Pink;Illuminate wireless reading device, two super LED lights;22;Contoso, Ltd;Contoso;1;Economy;10;Pink;;;$13,71;$26,9
845;Contoso Bright Light battery E20 White;Illuminate wireless reading device, two super LED lights;22;Contoso, Ltd;Contoso;1;Economy;8;White;;;$13,71;$26,9
846;Contoso Ultraportable Neoprene Sleeve E30 Black;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;22;Contoso, Ltd;Contoso;1;Economy;2;Black;;;$7,95;$15,6
847;Contoso Ultraportable Neoprene Sleeve E30 Pink;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;22;Contoso, Ltd;Contoso;1;Economy;10;Pink;;;$7,95;$15,6
848;Contoso Ultraportable Neoprene Sleeve E30 Yellow;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;22;Contoso, Ltd;Contoso;1;Economy;13;Yellow;;;$7,95;$15,6
849;Contoso Ultraportable Neoprene Sleeve E30 Green;Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack;22;Contoso, Ltd;Contoso;1;Economy;14;Green;;;$7,95;$15,6
850;Contoso Laptop Keyboard X105 Black;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;22;Contoso, Ltd;Contoso;3;Deluxe;2;Black;;;$76,5;$230,9
851;Contoso Laptop Keyboard X105 White;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;22;Contoso, Ltd;Contoso;3;Deluxe;8;White;;;$76,5;$230,9
852;Contoso Laptop Keyboard X105 Brown;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;22;Contoso, Ltd;Contoso;3;Deluxe;4;Brown;;;$76,5;$230,9
853;Contoso Laptop Keyboard X105 Silver;Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort;22;Contoso, Ltd;Contoso;3;Deluxe;7;Silver;;;$76,5;$230,9
854;Contoso Multimedia Speakers M25 Brown;Speakers system is the perfect audio companion to your PC or notebook;22;Contoso, Ltd;Contoso;2;Regular;4;Brown;;;$59,32;$129,
855;Contoso Multimedia Speakers M25 Blue;Speakers system is the perfect audio companion to your PC or notebook;22;Contoso, Ltd;Contoso;2;Regular;3;Blue;;;$59,32;$129,
856;Contoso Multimedia Speakers M25 Black;Speakers system is the perfect audio companion to your PC or notebook;22;Contoso, Ltd;Contoso;2;Regular;2;Black;;;$59,32;$129,
857;Contoso Multimedia Speakers M25 White;Speakers system is the perfect audio companion to your PC or notebook;22;Contoso, Ltd;Contoso;2;Regular;8;White;;;$59,32;$129,
