OrderID;DateKey;channelKey;StoreKey;ProductKey;PromotionKey;SalesQuantity;ReturnQuantity
892;01-ene-07;1;94;1605;2;9;0
1295;01-ene-07;4;310;713;5;13;1
1560;01-ene-07;1;38;811;2;9;0
2536;01-ene-07;1;245;1505;10;8;0
4687;01-ene-07;1;93;700;2;9;0
5161;01-ene-07;1;251;651;5;13;1
6637;01-ene-07;2;199;707;2;12;2
7621;01-ene-07;1;34;1607;2;9;0
12606;01-ene-07;1;130;1659;2;9;0
12973;01-ene-07;2;199;1444;2;18;0
13143;01-ene-07;1;125;2517;2;80;1
13661;01-ene-07;2;199;1590;2;18;0
14192;01-ene-07;1;295;806;5;6;0
14240;01-ene-07;1;15;2508;2;160;0
16811;01-ene-07;1;198;1012;2;9;0
17783;01-ene-07;2;199;270;2;9;0
19264;01-ene-07;2;307;978;5;26;1
19380;01-ene-07;1;150;1510;2;4;1
20257;01-ene-07;4;309;1088;10;8;0
20465;01-ene-07;1;78;642;2;9;0
20748;01-ene-07;1;193;1411;2;9;0
20804;01-ene-07;2;199;191;2;4;0
20898;01-ene-07;1;94;1608;2;4;0
21953;01-ene-07;1;190;294;2;9;0
24596;01-ene-07;1;254;288;5;6;0
27293;01-ene-07;1;85;1358;2;9;0
27731;01-ene-07;1;120;1465;2;4;0
28415;01-ene-07;1;276;1439;5;13;1
28547;01-ene-07;1;54;446;2;12;0
30552;01-ene-07;1;186;973;2;9;0
30857;01-ene-07;2;199;761;2;8;0
31803;01-ene-07;2;307;474;5;12;1
32351;01-ene-07;2;306;759;10;4;0
33937;01-ene-07;1;37;470;2;4;0
35106;01-ene-07;4;308;567;2;9;0
35854;01-ene-07;1;230;1440;10;4;1
35907;01-ene-07;1;170;1363;2;9;0
40820;01-ene-07;1;198;1647;2;9;0
42960;01-ene-07;3;200;1349;2;8;0
43038;01-ene-07;1;40;928;2;4;0
44665;01-ene-07;1;171;728;2;9;0
44829;01-ene-07;4;310;968;5;13;0
46485;01-ene-07;1;129;1562;2;9;0
46635;01-ene-07;4;310;1036;5;13;0
47049;01-ene-07;2;307;1613;5;6;0
47779;01-ene-07;1;144;750;2;9;0
50055;01-ene-07;1;233;420;10;24;0
52405;01-ene-07;1;131;1637;2;9;0
54288;01-ene-07;3;200;1050;2;8;0
56110;01-ene-07;1;185;1284;2;4;0
59625;01-ene-07;4;310;1640;5;13;0
61489;01-ene-07;1;303;297;10;4;0
61805;01-ene-07;1;220;1135;10;4;1
62997;01-ene-07;3;200;904;2;16;1
63265;01-ene-07;4;309;1348;10;8;1
67072;01-ene-07;1;155;1351;2;4;0
67740;01-ene-07;1;160;615;2;9;0
68028;01-ene-07;1;120;1105;2;9;0
70898;01-ene-07;1;260;191;5;6;0
73489;01-ene-07;1;170;1437;2;4;0
77158;01-ene-07;1;255;390;5;13;0
77899;01-ene-07;1;123;1036;2;9;0
78002;01-ene-07;1;233;298;10;8;0
78862;01-ene-07;1;26;7;2;4;0
79235;01-ene-07;4;309;1427;10;16;1
80469;01-ene-07;1;121;953;2;9;0
80629;01-ene-07;1;304;1432;10;8;1
81065;01-ene-07;2;307;1044;5;13;1
84126;01-ene-07;1;182;1446;2;9;0
84586;01-ene-07;4;309;579;10;16;0
85705;01-ene-07;1;85;123;2;9;0
87049;01-ene-07;1;241;666;10;8;0
87844;01-ene-07;2;307;779;5;12;0
90384;01-ene-07;1;64;515;2;4;0
93426;01-ene-07;1;263;538;10;4;0
93959;01-ene-07;1;275;680;5;13;0
96687;01-ene-07;1;85;332;2;4;0
97046;01-ene-07;1;126;731;2;9;1
97237;01-ene-07;1;244;928;10;4;1
1;02-ene-07;1;209;956;10;8;0
3535;02-ene-07;1;57;610;2;4;0
5054;02-ene-07;1;158;1658;2;4;0
5373;02-ene-07;1;37;1045;2;9;0
6478;02-ene-07;1;159;460;2;12;0
10317;02-ene-07;1;102;1073;2;9;0
10443;02-ene-07;1;183;1530;2;9;0
10960;02-ene-07;1;173;1042;2;9;0
11274;02-ene-07;1;89;294;2;9;0
13168;02-ene-07;1;91;692;2;9;1
13236;02-ene-07;1;31;901;2;4;0
14252;02-ene-07;4;310;1529;5;13;0
17122;02-ene-07;1;260;1047;5;13;1
20589;02-ene-07;1;101;431;2;27;0
22658;02-ene-07;1;7;527;2;4;0
23443;02-ene-07;1;256;556;5;13;1
23974;02-ene-07;1;9;411;2;9;1
27680;02-ene-07;2;307;1452;5;26;0
27907;02-ene-07;4;309;280;10;8;0
28068;02-ene-07;1;231;843;10;4;0
29901;02-ene-07;4;310;1013;5;13;0
31461;02-ene-07;1;109;1021;2;9;0
31786;02-ene-07;1;218;1079;10;8;0
32678;02-ene-07;1;162;1143;2;4;0
33898;02-ene-07;1;176;255;2;9;0
34424;02-ene-07;2;307;808;5;12;0
34898;02-ene-07;1;151;2491;2;80;0
37280;02-ene-07;1;109;1440;2;4;0
40892;02-ene-07;4;308;350;2;9;0
41455;02-ene-07;1;25;1057;2;9;0
41589;02-ene-07;4;308;567;2;9;0
42846;02-ene-07;1;189;1111;2;4;0
43301;02-ene-07;1;107;869;2;9;1
43333;02-ene-07;1;64;425;2;27;0
43608;02-ene-07;1;58;1009;2;9;1
43950;02-ene-07;3;200;552;2;36;0
45396;02-ene-07;1;224;242;10;8;0
46081;02-ene-07;1;91;502;2;4;1
47474;02-ene-07;2;307;1005;5;13;1
48206;02-ene-07;1;101;973;2;9;0
48780;02-ene-07;1;16;1427;2;9;1
57315;02-ene-07;3;200;1498;2;18;0
57667;02-ene-07;1;48;597;2;4;0
58730;02-ene-07;2;306;2489;10;80;0
60540;02-ene-07;2;307;1354;5;26;0
61078;02-ene-07;1;186;574;2;4;0
61503;02-ene-07;1;164;325;2;9;0
62433;02-ene-07;4;309;908;10;4;0
64001;02-ene-07;1;154;844;2;4;0
64005;02-ene-07;1;48;1051;2;9;0
66431;02-ene-07;1;303;869;10;8;0
69917;02-ene-07;2;306;1321;10;8;0
71059;02-ene-07;1;159;699;2;9;0
71789;02-ene-07;1;148;649;2;4;0
76384;02-ene-07;1;2;1346;2;9;0
76678;02-ene-07;1;196;1377;2;4;0
78785;02-ene-07;1;78;255;2;9;1
81024;02-ene-07;4;309;551;10;8;0
82045;02-ene-07;3;200;817;2;16;0
84992;02-ene-07;1;169;1298;2;9;0
85163;02-ene-07;1;120;1474;2;9;0
86115;02-ene-07;1;201;1515;10;8;0
87304;02-ene-07;4;309;869;10;8;0
90244;02-ene-07;3;200;1108;2;18;0
93452;02-ene-07;1;15;191;2;4;0
94123;02-ene-07;1;263;1522;10;8;0
97245;02-ene-07;1;96;1114;2;9;0
2860;03-ene-07;1;202;815;10;8;0
3424;03-ene-07;1;164;1510;2;4;0
4816;03-ene-07;1;114;1022;2;9;0
5010;03-ene-07;2;199;432;2;27;1
6063;03-ene-07;1;304;779;10;4;1
7028;03-ene-07;1;232;747;10;4;1
7294;03-ene-07;4;310;1654;5;13;0
7873;03-ene-07;1;281;1654;5;13;0
12458;03-ene-07;1;105;361;2;9;0
12980;03-ene-07;1;256;1372;5;13;0
16346;03-ene-07;1;97;952;2;9;0
20292;03-ene-07;1;137;46;2;4;0
24239;03-ene-07;4;310;632;5;6;0
24301;03-ene-07;2;199;1042;2;27;0
25010;03-ene-07;1;158;1550;2;9;0
27444;03-ene-07;1;206;737;10;8;0
28160;03-ene-07;1;125;682;2;18;0
33608;03-ene-07;1;246;1562;10;8;0
34156;03-ene-07;2;306;691;10;16;0
36347;03-ene-07;1;66;672;2;9;0
39398;03-ene-07;4;308;67;2;12;0
41613;03-ene-07;2;199;673;2;8;1
42527;03-ene-07;1;120;603;2;9;0
43145;03-ene-07;1;268;698;5;13;1
45208;03-ene-07;1;233;312;10;4;1
46109;03-ene-07;1;169;1396;2;9;1
46793;03-ene-07;1;212;267;10;8;0
48382;03-ene-07;2;199;1450;2;9;0
48861;03-ene-07;1;53;1056;2;9;0
48865;03-ene-07;2;306;1261;10;8;0
48976;03-ene-07;1;38;1003;2;4;0
49215;03-ene-07;4;310;1344;5;6;1
50440;03-ene-07;1;97;1142;2;9;0
51085;03-ene-07;4;309;2493;10;160;0
52434;03-ene-07;1;78;642;2;9;0
52643;03-ene-07;2;199;2515;2;80;0
52669;03-ene-07;1;190;1587;2;9;0
54252;03-ene-07;4;310;1583;5;13;0
54826;03-ene-07;1;242;1393;10;8;0
60051;03-ene-07;1;244;1353;10;8;0
61853;03-ene-07;1;163;1108;2;9;0
63811;03-ene-07;1;173;1;2;8;0
73025;03-ene-07;1;109;262;2;4;0
73650;03-ene-07;1;7;1283;2;8;2
75415;03-ene-07;1;113;1396;2;9;0
75420;03-ene-07;1;24;746;2;9;1
75812;03-ene-07;2;306;1518;10;8;0
75854;03-ene-07;1;103;1441;2;4;0
76929;03-ene-07;1;101;426;2;27;0
77677;03-ene-07;1;30;777;2;4;0
78067;03-ene-07;1;54;298;2;9;0
78098;03-ene-07;1;241;680;10;8;0
78728;03-ene-07;1;24;1384;2;4;0
79284;03-ene-07;1;211;210;10;4;0
81942;03-ene-07;1;112;1421;2;9;0
83279;03-ene-07;1;62;1;2;4;0
86068;03-ene-07;1;109;500;2;4;0
89546;03-ene-07;2;307;1498;5;13;0
89888;03-ene-07;1;207;696;10;8;1
90286;03-ene-07;1;215;1040;10;16;0
91750;03-ene-07;1;246;905;10;4;0
91984;03-ene-07;1;173;120;2;4;0
93188;03-ene-07;1;4;297;2;4;0
94868;03-ene-07;1;287;1342;2;9;1
96321;03-ene-07;1;138;238;2;9;0
97592;03-ene-07;4;310;500;5;6;0
97702;03-ene-07;4;308;314;2;9;0
1265;04-ene-07;1;204;972;10;4;0
2379;04-ene-07;1;237;1402;10;8;1
3344;04-ene-07;4;310;947;5;6;0
5922;04-ene-07;2;307;1336;5;13;0
6594;04-ene-07;1;97;1116;2;9;0
9292;04-ene-07;1;185;572;2;4;0
10788;04-ene-07;1;83;301;2;9;0
11876;04-ene-07;2;199;949;2;9;0
13512;04-ene-07;1;83;1135;2;4;0
13992;04-ene-07;1;31;1455;2;9;0
14108;04-ene-07;4;308;1109;2;18;0
14492;04-ene-07;1;10;1087;2;9;0
17030;04-ene-07;1;256;752;5;6;0
18311;04-ene-07;1;207;1655;10;8;0
18811;04-ene-07;1;83;780;2;9;0
21438;04-ene-07;1;232;1296;10;8;0
23674;04-ene-07;1;8;538;2;4;1
26152;04-ene-07;2;307;383;5;26;0
26720;04-ene-07;2;306;1006;10;8;0
27109;04-ene-07;1;167;272;2;9;1
29312;04-ene-07;1;176;2489;2;80;1
31164;04-ene-07;1;40;739;2;9;0
32833;04-ene-07;1;256;1386;5;13;0
35172;04-ene-07;3;200;1528;2;36;0
36745;04-ene-07;1;124;644;2;4;0
37136;04-ene-07;4;309;1605;10;16;0
38310;04-ene-07;1;117;315;2;4;0
41017;04-ene-07;4;310;1612;5;13;1
44552;04-ene-07;1;267;488;5;6;1
46090;04-ene-07;1;210;743;10;4;0
47246;04-ene-07;1;137;1351;2;8;1
50350;04-ene-07;1;236;786;10;4;0
51133;04-ene-07;1;19;1490;2;4;0
52174;04-ene-07;1;221;1455;10;8;0
54133;04-ene-07;1;12;743;2;4;0
55730;04-ene-07;1;167;719;2;9;0
57660;04-ene-07;1;41;1429;2;9;1
57668;04-ene-07;1;243;1123;10;4;1
58845;04-ene-07;1;155;293;2;9;0
59536;04-ene-07;1;221;846;10;4;0
62341;04-ene-07;3;200;680;2;36;1
62703;04-ene-07;1;239;1332;10;8;0
63023;04-ene-07;1;21;898;2;4;0
63580;04-ene-07;2;307;1405;5;13;0
64217;04-ene-07;2;199;272;2;18;1
65906;04-ene-07;1;69;432;2;27;0
67408;04-ene-07;1;167;988;2;4;1
67841;04-ene-07;1;30;955;2;9;1
68327;04-ene-07;1;3;1655;2;9;0
68745;04-ene-07;4;309;69;10;8;0
72492;04-ene-07;1;251;596;5;6;0
72652;04-ene-07;3;200;1514;2;18;0
76199;04-ene-07;1;193;1084;2;9;0
76680;04-ene-07;4;309;368;10;8;0
77135;04-ene-07;1;6;1440;2;4;0
79847;04-ene-07;1;54;1352;2;9;0
82367;04-ene-07;4;309;771;10;4;0
