ID;Fecha_ Pedido;Cod_Tienda;id_producto;Qtde;Precio_Unitario
AX144;15-01-2023;A1500111;1007;35;630,99
AX4456;27-07-2023;A5200100;1007;33;630,99
AX2320;03-08-2023;A1500108;1005;132;999
AX4314;04-07-2023;A1500107;1005;72;999
AX151;15-01-2023;A1500111;1007;44;630,99
AX5161;18-11-2023;A3100104;1007;46;630,99
AX2399;15-08-2023;A1500111;1005;64;999
AX2946;12-11-2023;A1500108;1007;26;630,99
AX1141;09-04-2023;A1500110;1007;27;630,99
AX370;01-02-2023;A1500111;1005;45;999
AX2762;13-10-2023;A1500111;1005;41;999
AX1772;01-06-2023;A1500111;1005;43;999
AX2465;27-08-2023;A1500109;1007;21;630,99
AX767;09-03-2023;A1500111;1005;36;999
AX316;29-01-2023;A1500108;1007;17;630,99
AX2804;19-10-2023;A1500109;1007;18;630,99
AX1570;15-05-2023;A1500111;1005;34;999
AX2169;04-07-2023;A1500108;1007;16;630,99
AX5065;04-11-2023;A5200050;1005;42;999
AX806;12-03-2023;A1500111;1007;18;630,99
AX3943;01-05-2023;A3100104;1007;41;630,99
AX4306;03-07-2023;A3100104;1007;36;630,99
AX5287;10-12-2023;A5200050;1005;43;999
AX4267;26-06-2023;A5200050;1004;32;210
AX2786;16-10-2023;A1500109;1007;14;630,99
AX2502;02-09-2023;A1500111;1004;49;210
AX5312;13-12-2023;A1500107;1007;88;630,99
AX516;14-02-2023;A1500109;1007;12;630,99
AX2568;12-09-2023;A1500108;1004;49;210
AX1423;04-05-2023;A1500109;1005;25;999
AX4656;28-08-2023;A1500107;1005;116;999
AX4888;05-10-2023;A3100104;1007;43;630,99
AX1510;11-05-2023;A1500109;1005;20;999
AX700;03-03-2023;A1500111;1005;49;999
AX2030;22-06-2023;A1500111;1005;49;999
AX1894;10-06-2023;A1500111;1004;40;210
AX594;21-02-2023;A1500108;1005;46;999
AX3609;04-03-2023;A5200050;1005;31;999
AX3276;09-01-2023;A5200100;1007;41;630,99
AX1656;22-05-2023;A1500111;1004;37;210
AX485;11-02-2023;A1500108;1005;16;999
AX2510;03-09-2023;A1500109;1005;36;999
AX1438;05-05-2023;A1500111;1005;37;999
AX4012;13-05-2023;A3100104;1004;44;210
AX5055;01-11-2023;A3100104;1004;15;210
AX780;10-03-2023;A1500110;1004;26;210
AX4614;20-08-2023;A3100104;1007;27;630,99
AX4930;12-10-2023;A1500107;1007;30;630,99
AX2979;17-11-2023;A1500109;1005;11;999
AX4902;09-10-2023;A3100104;1004;32;210
AX3260;31-12-2023;A1500109;1005;10;999
AX2581;16-09-2023;A1500109;1005;25;999
AX2759;13-10-2023;A1500109;1005;24;999
AX4091;25-05-2023;A1500107;1005;78;999
AX4323;05-07-2023;A3100104;1004;28;210
AX995;28-03-2023;A1500111;1004;19;210
AX3241;29-12-2023;A1500109;1005;23;999
AX3163;14-12-2023;A1500109;1005;20;999
AX912;21-03-2023;A1500108;1004;45;210
AX4607;19-08-2023;A5200100;1005;43;999
AX4963;18-10-2023;A5200100;1004;26;210
AX1201;15-04-2023;A1500111;1005;18;999
AX1008;30-03-2023;A1500109;1005;17;999
AX3311;15-01-2023;A5200100;1007;16;630,99
AX3141;11-12-2023;A1500109;1005;16;999
AX3013;20-11-2023;A1500111;1004;30;210
AX2937;11-11-2023;A1500109;1004;23;210
AX2994;18-11-2023;A1500109;1005;10;999
AX579;20-02-2023;A1500109;1004;17;210
AX3839;11-04-2023;A3100104;1007;19;630,99
AX1755;30-05-2023;A1500109;1004;13;210
AX1618;19-05-2023;A1500109;1004;11;210
AX664;28-02-2023;A1500109;1004;17;210
AX618;24-02-2023;A1500111;1004;20;210
AX5189;25-11-2023;A5200050;1004;19;210
AX3717;22-03-2023;A3100104;1004;46;210
AX1154;10-04-2023;A1500108;1004;39;210
AX161;16-01-2023;A1500109;1004;10;210
AX5296;11-12-2023;A3100104;1005;50;999
AX1131;09-04-2023;A1500111;1005;23;999
AX2867;28-10-2023;A1500111;1005;27;999
AX1593;16-05-2023;A1500111;1004;51;210
AX2672;29-09-2023;A1500108;1005;24;999
AX4896;07-10-2023;A5200050;1007;17;630,99
AX1686;25-05-2023;A1500108;1004;60;210
AX4560;12-08-2023;A3100104;1007;43;630,99
AX3338;19-01-2023;A5200100;1005;16;999
AX386;04-02-2023;A1500111;1004;18;210
